#,Company,Symbol,Weight,Price,Chg,% Chg
240,Welltower Inc,WELL,0.088733,57.88,-1.1,(-1.87%)
241,Digital Realty Trust Inc.,DLR,0.088719,96.86,1.78,-1.87%
242,Constellation Energy Corporation,CEG,0.088669,87.5,2.94,-3.48%
243,Republic Services Inc.,RSG,0.088221,133.54,1.25,-0.94%
244,Public Service Enterprise Group Inc,PEG,0.087436,54.3,0.53,-0.99%
245,DuPont de Nemours Inc.,DD,0.087432,55.58,1.82,-3.39%
246,SBA Communications Corp. Class A,SBAC,0.087365,248.2,0.24,-0.10%
247,WEC Energy Group Inc,WEC,0.086689,86.65,1.21,-1.42%
248,ON Semiconductor Corporation,ON,0.086517,65.8,4.28,-6.96%
249,AMETEK Inc.,AME,0.085588,119.18,4.08,-3.54%
250,Baker Hughes Company Class A,BKR,0.085245,26.69,0.74,-2.85%
251,Diamondback Energy Inc.,FANG,0.084592,152.99,6.4,-4.37%
252,Arista Networks Inc.,ANET,0.084533,110.52,4.88,-4.62%
253,Verisk Analytics Inc,VRSK,0.08444,166.99,1.3,-0.78%
254,Rockwell Automation Inc.,ROK,0.08401,231.87,6.66,-2.96%
255,Fastenal Company,FAST,0.083843,46.17,0.82,-1.81%
256,Mettler-Toledo International Inc.,MTD,0.083534,"1,174.38",30.48,-2.66%
257,PPG Industries Inc.,PPG,0.082735,112.59,4.18,-3.86%
258,Discover Financial Services,DFS,0.082272,94.68,1.92,-2.07%
259,Eversource Energy,ES,0.080624,72.59,0.91,-1.27%
260,ONEOK Inc.,OKE,0.078961,56.6,1.53,-2.78%
261,AvalonBay Communities Inc.,AVB,0.077264,174.89,2.86,-1.66%
262,Walgreens Boots Alliance Inc.,WBA,0.07703,34.3,0.94,-2.82%
263,Old Dominion Freight Line Inc.,ODFL,0.076629,260.5,2.85,-1.11%
264,Coterra Energy Inc.,CTRA,0.076612,29.67,-0.02,(-0.07%)
265,State Street Corporation,STT,0.076299,69.12,4.26,-6.57%
266,Corning Inc,GLW,0.076032,32.19,1.29,-4.17%
267,American Water Works Company Inc.,AWK,0.075878,132.76,2.83,-2.18%
268,HP Inc.,HPQ,0.075554,26.79,1.22,-4.77%
269,W.W. Grainger Inc.,GWW,0.074858,519.68,10.49,-2.06%
270,Copart Inc.,CPRT,0.074818,110.48,1.67,-1.53%
271,International Flavors & Fragrances Inc.,IFF,0.074811,94.07,2.86,-3.14%
272,Willis Towers Watson Public Limited Company,WTW,0.074112,210.72,5.24,-2.55%
273,T. Rowe Price Group,TROW,0.073771,103.03,3.31,-3.32%
274,Aptiv PLC,APTV,0.073671,87.04,2.38,-2.81%
275,Genuine Parts Company,GPC,0.072718,162.35,4.48,-2.84%
276,PG&E Corporation,PCG,0.072403,14.5,0.46,-3.28%
277,Gartner Inc.,IT,0.072055,289.75,9.2,-3.28%
278,AmerisourceBergen Corporation,ABC,0.072051,147.73,4.96,-3.47%
279,Zimmer Biomet Holdings Inc.,ZBH,0.071411,107.39,1.06,-1.00%
280,Extra Space Storage Inc.,EXR,0.07136,165.96,0.18,-0.11%
281,CBRE Group Inc. Class A,CBRE,0.070634,69.31,1.54,-2.27%
282,Weyerhaeuser Company,WY,0.069769,29.96,1.02,-3.52%
283,Equity Residential,EQR,0.069704,64.21,0.6,-0.94%
284,CDW Corp.,CDW,0.069244,163.51,5.09,-3.21%
285,D.R. Horton Inc.,DHI,0.068912,69.75,2.61,-3.89%
286,Hartford Financial Services Group Inc.,HIG,0.06884,67.19,1.58,-2.41%
287,Fortive Corp.,FTV,0.068666,61.45,1.87,-3.14%
288,Fifth Third Bancorp,FITB,0.068606,33.02,1.87,-6.00%
289,Tractor Supply Company,TSCO,0.068298,197.8,8.27,-4.36%
